Model,Score,MAE,RMSE,R2
Linear,0.6440104961585942,20330.836684240363,47113.088391475256,0.6440104961585942
Ridge,0.6557408767861163,19317.092971231377,46330.363424666655,0.6557408767861163
Lasso,0.6561916359786857,20099.692898994475,46300.02192258946,0.6561916359786857
RandomForestRegressor,0.7867570785843406,18147.373861047836,36463.662624517136,0.7867570785843406
DecisionTreeRegressor,0.6415375465345212,26497.36438407603,47276.44525438394,0.6415375465345212
ElasticNet,0.5889019651930634,21833.795668353756,50628.571999771775,0.5889019651930634
